short,long,key,trait
E1,I am the life of the party.,1,Extraversion
E2,I don't talk a lot.,-1,Extraversion
E3,I feel comfortable around people.,1,Extraversion
E4,I keep in the background.,-1,Extraversion
E5,I start conversations.,1,Extraversion
E6,I have little to say.,-1,Extraversion
E7,I talk to a lot of different people at parties.,1,Extraversion
E8,I don't like to draw attention to myself.,-1,Extraversion
E9,I don't mind being the center of attention.,1,Extraversion
E10,I am quiet around strangers.,-1,Extraversion
A1,I get stressed out easily.,-1,Neuroticism
A2,I am relaxed most of the time.,1,Neuroticism
A3,I worry about things.,-1,Neuroticism
A4,I seldom feel blue.,1,Neuroticism
A5,I am easily disturbed.,-1,Neuroticism
A6,I get upset easily.,-1,Neuroticism
A7,I change my mood a lot.,-1,Neuroticism
A8,I have frequent mood swings.,-1,Neuroticism
A9,I get irritated easily.,-1,Neuroticism
A10,I often feel blue.,-1,Neuroticism
C1,I feel little concern for others.,-1,Agreeableness
C2,I am interested in people.,1,Agreeableness
C3,I insult people.,-1,Agreeableness
C4,I sympathize with others' feelings.,1,Agreeableness
C5,I am not interested in other people's problems.,-1,Agreeableness
C6,I have a soft heart.,1,Agreeableness
C7,I am not really interested in others.,-1,Agreeableness
C8,I take time out for others.,1,Agreeableness
C9,I feel others' emotions.,1,Agreeableness
C10,I make people feel at ease.,1,Agreeableness
N1,I am always prepared.,1,Conscientiousness
N2,I leave my belongings around.,-1,Conscientiousness
N3,I pay attention to details.,1,Conscientiousness
N4,I make a mess of things.,-1,Conscientiousness
N5,I get chores done right away.,1,Conscientiousness
N6,I often forget to put things back in their proper place.,-1,Conscientiousness
N7,I like order.,1,Conscientiousness
N8,I shirk my duties.,-1,Conscientiousness
N9,I follow a schedule.,1,Conscientiousness
N10,I am exacting in my work.,1,Conscientiousness
O1,I have a rich vocabulary.,1,Openness
O2,I have difficulty understanding abstract ideas.,-1,Openness
O3,I have a vivid imagination.,1,Openness
O4,I am not interested in abstract ideas.,-1,Openness
O5,I have excellent ideas.,1,Openness
O6,I do not have a good imagination.,-1,Openness
O7,I am quick to understand things.,1,Openness
O8,I use difficult words.,1,Openness
O9,I spend time reflecting on things.,1,Openness
O10,I am full of ideas.,1,Openness
